VN,ZA,nuclide,old_source_activity_Bq,new_groundstate_activity_Bq,scale,action,RP_yield,nubase_half_life_s,nubase_why,nubase_line,nubase_raw_value,nubase_raw_unit
CsI_Bottom_Quadrant_03,53128,I-128,8.013363147,8.013363142067249,0.9999999993844344,kept_rescaled,1476.5,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Bottom_Quadrant_00,53128,I-128,7.969946184000001,7.9699461873158475,1.0000000004160436,kept_rescaled,1468.5,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Bottom_Quadrant_01,53128,I-128,7.187079638099999,7.1870796383394016,1.00000000003331,kept_rescaled,1324.25,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Bottom_Quadrant_02,53128,I-128,7.0351121017,7.0351121074830365,1.0000000008220247,kept_rescaled,1296.25,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_07,53128,I-128,4.3594583404,4.359458338874427,0.9999999996500546,kept_rescaled,803.25,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_00,53128,I-128,4.285508711199999,4.285508709796945,0.9999999996726049,kept_rescaled,789.625,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_06,53128,I-128,3.9809120213000004,3.9809120215373124,1.0000000000596125,kept_rescaled,733.5,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_01,53128,I-128,3.9707263172999996,3.970726318478972,1.000000000296916,kept_rescaled,731.625,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_05,53128,I-128,3.4198598541,3.419859854237611,1.000000000040239,kept_rescaled,630.125,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_02,53128,I-128,3.4029003661,3.4029003680965846,1.0000000005867302,kept_rescaled,627.0,1499.3999999999999,nubase_ground,2498,24.99,m
ColdPlate_4K,29064,Cu-64,1.8676609926999999,1.867660991670445,0.9999999994487464,kept_rescaled,344.125,45721.44,nubase_ground,914,12.7004,h
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,1.2706624662000001,1.2706624659526131,0.9999999998053086,kept_rescaled,234.125,134.70000000000002,nubase_ground,276,2.245,m
CsI_Side_Segment_04_below_side_port,53128,I-128,1.2007911152,1.2007911140376895,0.9999999990320461,kept_rescaled,221.25,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_03_below_side_port,53128,I-128,1.1831447960600001,1.1831447953566512,0.9999999994055259,kept_rescaled,218.0,1499.3999999999999,nubase_ground,2498,24.99,m
ColdPlate_Still_0p7K,29064,Cu-64,0.9694445167999999,0.9694445169808494,1.0000000001865497,kept_rescaled,178.625,45721.44,nubase_ground,914,12.7004,h
