source_name,VN,ZA,nuclide,old_flux_Bq,new_flux_Bq,removed
S_ActiveShield_Al_Backplane_detector_bay_above_side_port_13026_z000,ActiveShield_Al_Backplane_detector_bay_above_side_port,13026,Al-26,5.3893531e-11,5.3892380095997514e-11,False
S_ActiveShield_Al_Backplane_detector_bay_above_side_port_13026_z005,ActiveShield_Al_Backplane_detector_bay_above_side_port,13026,Al-26,5.3893531e-11,5.3892380095997514e-11,False
S_ActiveShield_Al_Backplane_detector_bay_above_side_port_13026_z006,ActiveShield_Al_Backplane_detector_bay_above_side_port,13026,Al-26,2.69467655e-11,2.6946190047998757e-11,False
S_ActiveShield_Al_Backplane_detector_bay_above_side_port_13026_z007,ActiveShield_Al_Backplane_detector_bay_above_side_port,13026,Al-26,2.69467655e-11,2.6946190047998757e-11,False
S_ActiveShield_Al_Backplane_detector_bay_above_side_port_13026_z009,ActiveShield_Al_Backplane_detector_bay_above_side_port,13026,Al-26,5.3893531e-11,5.3892380095997514e-11,False
S_ActiveShield_Al_Backplane_detector_bay_below_side_port_11022_z005,ActiveShield_Al_Backplane_detector_bay_below_side_port,11022,Na-22,7.38857768e-06,7.38842075896637e-06,False
S_ActiveShield_Al_Backplane_detector_bay_below_side_port_13026_z000,ActiveShield_Al_Backplane_detector_bay_below_side_port,13026,Al-26,1.07787062e-10,1.0778476019199503e-10,False
S_ActiveShield_Al_Backplane_detector_bay_below_side_port_13026_z002,ActiveShield_Al_Backplane_detector_bay_below_side_port,13026,Al-26,5.3893531e-11,5.3892380095997514e-11,False
S_ActiveShield_Al_Backplane_detector_bay_below_side_port_13026_z003,ActiveShield_Al_Backplane_detector_bay_below_side_port,13026,Al-26,2.69467655e-11,2.6946190047998757e-11,False
S_ActiveShield_Al_Backplane_detector_bay_below_side_port_13026_z008,ActiveShield_Al_Backplane_detector_bay_below_side_port,13026,Al-26,5.3893531e-11,5.3892380095997514e-11,False
S_ActiveShield_Al_Backplane_detector_bay_below_side_port_13026_z009,ActiveShield_Al_Backplane_detector_bay_below_side_port,13026,Al-26,2.69467655e-11,2.6946190047998757e-11,False
S_ActiveShield_Al_Backplane_detector_bay_side_port_band_00_13026_z005,ActiveShield_Al_Backplane_detector_bay_side_port_band_00,13026,Al-26,2.69344019e-11,2.6933826759312152e-11,False
S_ActiveShield_Al_Backplane_detector_bay_side_port_band_01_13026_z000,ActiveShield_Al_Backplane_detector_bay_side_port_band_01,13026,Al-26,5.3893531e-11,5.3892380095997514e-11,False
S_ActiveShield_Al_Backplane_detector_bay_side_port_band_01_13026_z006,ActiveShield_Al_Backplane_detector_bay_side_port_band_01,13026,Al-26,5.3893531e-11,5.3892380095997514e-11,False
S_ActiveShield_Al_Backplane_detector_bay_side_port_band_01_13026_z007,ActiveShield_Al_Backplane_detector_bay_side_port_band_01,13026,Al-26,2.69467655e-11,2.6946190047998757e-11,False
S_ActiveShield_Al_Backplane_detector_bay_side_port_band_01_13026_z009,ActiveShield_Al_Backplane_detector_bay_side_port_band_01,13026,Al-26,8.08402965e-11,8.083857014399628e-11,False
S_ActiveShield_Flex_Kapton_detector_bay_above_side_port_6014_z000,ActiveShield_Flex_Kapton_detector_bay_above_side_port,6014,C-14,6.7761117e-09,6.7759669994951344e-09,False
S_ActiveShield_Flex_Kapton_detector_bay_above_side_port_6014_z001,ActiveShield_Flex_Kapton_detector_bay_above_side_port,6014,C-14,3.38805585e-09,3.3879834997475672e-09,False
S_ActiveShield_Flex_Kapton_detector_bay_above_side_port_6014_z005,ActiveShield_Flex_Kapton_detector_bay_above_side_port,6014,C-14,3.38805585e-09,3.3879834997475672e-09,False
S_ActiveShield_Flex_Kapton_detector_bay_above_side_port_6014_z006,ActiveShield_Flex_Kapton_detector_bay_above_side_port,6014,C-14,3.38805585e-09,3.3879834997475672e-09,False
S_ActiveShield_Flex_Kapton_detector_bay_above_side_port_6014_z009,ActiveShield_Flex_Kapton_detector_bay_above_side_port,6014,C-14,6.7761117e-09,6.7759669994951344e-09,False
S_ActiveShield_Flex_Kapton_detector_bay_below_side_port_6014_z000,ActiveShield_Flex_Kapton_detector_bay_below_side_port,6014,C-14,6.7761117e-09,6.775966984110847e-09,False
S_ActiveShield_Flex_Kapton_detector_bay_below_side_port_6014_z001,ActiveShield_Flex_Kapton_detector_bay_below_side_port,6014,C-14,1.01641676e-08,1.0163950526165203e-08,False
S_ActiveShield_Flex_Kapton_detector_bay_below_side_port_6014_z002,ActiveShield_Flex_Kapton_detector_bay_below_side_port,6014,C-14,3.38805585e-09,3.3879834920554236e-09,False
