tag,VN,ZA,exc_keV,nuclide,reason,detail
alpha,ColdPlate_60K,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
alpha,G10_Support_Ring_Still_4K,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
alpha,Window,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
alpha,W_Side_Aperture_Sleeve_collimator_ZP_panel,74180,0.0,W-180,SKIPPED/UNKNOWN,None
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,15029,0.0,P-29,SKIPPED/UNKNOWN,None
alpha,Passive_W_Bottom_Plate_detector_bay,74183,0.0,W-183,SKIPPED/UNKNOWN,None
alpha,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,15029,0.0,P-29,SKIPPED/UNKNOWN,None
alpha,Passive_W_Bottom_Plate_detector_bay,74171,0.0,W-171,SKIPPED/UNKNOWN,None
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12023,0.0,Mg-23,SKIPPED/UNKNOWN,None
alpha,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
eplus,Passive_W_Liner_detector_bay_side_port_band_00,74180,0.0,W-180,SKIPPED/UNKNOWN,None
muminus,G10_Support_Ring_4K_60K,13030,0.0,Al-30,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11026,0.0,Na-26,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11026,0.0,Na-26,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,11026,0.0,Na-26,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,9021,0.0,F-21,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11026,0.0,Na-26,SKIPPED/UNKNOWN,None
muminus,Passive_W_Bottom_Plate_detector_bay,74183,0.0,W-183,SKIPPED/UNKNOWN,None
muminus,Plate_300K_Top_Service_Lid,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
muminus,Plate_300K_Top_Service_Lid,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Plate_300K_Top_Service_Lid,11026,0.0,Na-26,SKIPPED/UNKNOWN,None
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,9020,0.0,F-20,SKIPPED/UNKNOWN,None
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,10025,0.0,Ne-25,SKIPPED/UNKNOWN,None
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11026,0.0,Na-26,SKIPPED/UNKNOWN,None
muminus,W_Side_Aperture_Sleeve_collimator_YM_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
muminus,W_Side_Aperture_Sleeve_collimator_ZP_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11026,0.0,Na-26,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,10025,0.0,Ne-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,11026,0.0,Na-26,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,9020,0.0,F-20,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,9023,0.0,F-23,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
muminus,Passive_W_Liner_detector_bay_below_side_port,74180,0.0,W-180,SKIPPED/UNKNOWN,None
muminus,Passive_W_Liner_detector_bay_side_port_band_01,74183,0.0,W-183,SKIPPED/UNKNOWN,None
muminus,ColdPlate_60K,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,10025,0.0,Ne-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,10025,0.0,Ne-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,10025,0.0,Ne-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,9022,0.0,F-22,SKIPPED/UNKNOWN,None
muminus,Plate_300K_Top_Service_Lid,12023,0.0,Mg-23,SKIPPED/UNKNOWN,None
muminus,Window,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12023,0.0,Mg-23,SKIPPED/UNKNOWN,None
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,14027,0.0,Si-27,SKIPPED/UNKNOWN,None
muminus,W_Side_Aperture_Sleeve_collimator_ZM_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
muminus,ColdPlate_60K,10025,0.0,Ne-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,8020,0.0,O-20,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,8020,0.0,O-20,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_01,10023,0.0,Ne-23,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,10025,0.0,Ne-25,SKIPPED/UNKNOWN,None
muminus,Passive_W_Liner_detector_bay_below_side_port,74183,0.0,W-183,SKIPPED/UNKNOWN,None
muminus,Plate_300K_Top_Service_Lid,10025,0.0,Ne-25,SKIPPED/UNKNOWN,None
muminus,W_Side_Aperture_Sleeve_collimator_YP_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
muminus,ActiveShield_Al_Backplane_detector_bay_side_port_band_01,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,9021,0.0,F-21,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,9022,0.0,F-22,SKIPPED/UNKNOWN,None
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,8022,0.0,O-22,SKIPPED/UNKNOWN,None
muminus,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,9021,0.0,F-21,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,9020,0.0,F-20,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,10025,0.0,Ne-25,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_top_annulus,9022,0.0,F-22,SKIPPED/UNKNOWN,None
muminus,Plate_300K_Top_Service_Lid,9021,0.0,F-21,SKIPPED/UNKNOWN,None
muminus,Window,11026,0.0,Na-26,SKIPPED/UNKNOWN,None
muminus,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,12023,0.0,Mg-23,SKIPPED/UNKNOWN,None
muminus,Passive_W_Liner_detector_bay_above_side_port,74183,0.0,W-183,SKIPPED/UNKNOWN,None
muplus,W_Side_Aperture_Sleeve_collimator_ZP_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
n,ActiveShield_Al_Backplane_detector_bay_above_side_port,9020,0.0,F-20,SKIPPED/UNKNOWN,None
n,CsI_Side_Segment_02,49116,0.0,In-116,SKIPPED/UNKNOWN,None
n,CsI_TopAnnulus_Segment_03,47100,0.0,Ag-100,SKIPPED/UNKNOWN,None
n,Passive_W_Bottom_Plate_detector_bay,71168,0.0,Lu-168,SKIPPED/UNKNOWN,None
n,Passive_W_Bottom_Plate_detector_bay,74175,0.0,W-175,SKIPPED/UNKNOWN,None
n,Passive_W_Bottom_Plate_detector_bay,74180,0.0,W-180,SKIPPED/UNKNOWN,None
n,Passive_W_Bottom_Plate_detector_bay,74183,0.0,W-183,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_above_side_port,74180,0.0,W-180,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_above_side_port,74183,0.0,W-183,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_below_side_port,74175,0.0,W-175,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_below_side_port,74183,0.0,W-183,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_side_port_band_00,74180,0.0,W-180,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_side_port_band_00,74183,0.0,W-183,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_side_port_band_01,74183,0.0,W-183,SKIPPED/UNKNOWN,None
n,W_Side_Aperture_Sleeve_collimator_YM_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
n,W_Side_Aperture_Sleeve_collimator_YP_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
n,W_Side_Aperture_Sleeve_collimator_ZM_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
n,W_Side_Aperture_Sleeve_collimator_ZP_panel,74183,0.0,W-183,SKIPPED/UNKNOWN,None
n,Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,9020,0.0,F-20,SKIPPED/UNKNOWN,None
n,Outer_Al_Mechanical_Shell_detector_bay_side_wall_side_port_band_00,13025,0.0,Al-25,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_below_side_port,74180,0.0,W-180,SKIPPED/UNKNOWN,None
n,Passive_W_Liner_detector_bay_side_port_band_01,74180,0.0,W-180,SKIPPED/UNKNOWN,None
n,Window,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
n,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11025,0.0,Na-25,SKIPPED/UNKNOWN,None
n,CsI_Bottom_Quadrant_00,53117,0.0,I-117,SKIPPED/UNKNOWN,None
n,CsI_Side_Segment_03_side_port_band_00,54119,0.0,Xe-119,SKIPPED/UNKNOWN,None
n,Nb_SideEntry_Sample_Can_with_side_aperture_ZM_panel,41086,0.0,Nb-86,SKIPPED/UNKNOWN,None
n,Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,5012,0.0,B-12,SKIPPED/UNKNOWN,None
