VN,ZA,nuclide,old_source_activity_Bq,new_groundstate_activity_Bq,scale,action,RP_yield,nubase_half_life_s,nubase_why,nubase_line,nubase_raw_value,nubase_raw_unit
CsI_Active_Shield_Bottom03,53128,I-128,49.832546189999995,49.832546179576646,0.9999999997908325,kept_rescaled,26973.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Bottom01,53128,I-128,49.37435853,49.37435852489316,0.999999999896569,kept_rescaled,26725.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Bottom00,53128,I-128,49.25982325,49.259823239438944,0.9999999997856052,kept_rescaled,26663.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Bottom02,53128,I-128,49.09713815,49.09713816671558,1.0000000003404594,kept_rescaled,26575.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Side03,53128,I-128,37.380364119999996,37.38036413450505,1.0000000003880394,kept_rescaled,20233.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Side00,53128,I-128,36.8741649,36.87416488200509,0.9999999995119915,kept_rescaled,19959.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Side06,53128,I-128,36.83901914,36.83901914729298,1.000000000197969,kept_rescaled,19940.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Side01,53128,I-128,36.75776432,36.7577643108043,0.9999999997498297,kept_rescaled,19896.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Side07,53128,I-128,36.726374590000006,36.72637459721597,1.000000000196479,kept_rescaled,19879.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Side02,53128,I-128,36.63759075,36.63759075205929,1.000000000056207,kept_rescaled,19831.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Side05,53128,I-128,36.621040830000005,36.62104083032838,1.0000000000089668,kept_rescaled,19822.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Active_Shield_Side04,53128,I-128,36.61733693000001,36.617336937510515,1.000000000205108,kept_rescaled,19820.0,1499.3999999999999,nubase_ground,2498,24.99,m
Outer_Al_Mech_Shell,12027,Mg-27,9.146566859,9.146566856420325,0.9999999997179625,kept_rescaled,4974.0,566.1,nubase_ground,263,9.435,m
Passive_W_Outer_Liner,74187,W-187,7.888603009,7.888594467476569,0.9999989172324402,kept_rescaled,4270.0,85712.40000000001,nubase_ground,4206,23.809,h
Outer_Al_Mech_Shell,13028,Al-28,7.759676310999999,7.759676306018977,0.9999999993580889,kept_rescaled,4200.0,134.70000000000002,nubase_ground,276,2.245,m
