time_bin_id,day_mid,VN,ZA,nuclide,hl_s,reference_activity_Bq_day15,activity_Bq,activity_ratio_to_day15
0,0.0,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,0.09115001232626437,0.04178614175638671
1,0.25,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,0.3397053779654111,0.15573203685655884
2,0.5,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,0.621219625086218,0.28478735935642163
3,0.75,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,0.8547711098925715,0.39185498559656445
4,1.0,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.0490133448937777,0.4809019682539548
5,1.25,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.211217442125832,0.5552616224923377
6,1.5,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.3474794947143292,0.6177285964418135
7,1.75,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.4629176201594822,0.6706492022742803
8,2.0,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.561836950101312,0.7159970528988167
9,2.25,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.6478442973116494,0.7554256290547671
10,2.5,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.7238977219089897,0.7902910020829989
11,2.75,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.7922851540967695,0.8216420338911474
12,3.0,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.8545480125605533,0.8501853611329786
13,3.25,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.9114019955291548,0.8762490832445842
14,3.5,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,1.962742321384195,0.8997851649109125
15,3.75,Passive_W_Bottom_Plate_detector_bay,74187,W-187,85712.40000000001,2.1813455010436025,2.0078192745971952,0.920449912055019
