time_bin_id,day_mid,VN,ZA,nuclide,hl_s,reference_activity_Bq_day15,activity_Bq,activity_ratio_to_day15
0,0.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,7.602176627574612,0.9171575972289505
1,0.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.183593688780187,0.9873021230623829
2,0.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.102842086423195,0.9775599203724994
3,0.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.044837489194585,0.9705620091651407
4,1.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.010497320145534,0.966419071099321
5,1.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,7.999559124792398,0.9650994425955957
6,1.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.011819065067016,0.9665785317979766
7,1.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.047417335862052,0.9708732523901628
8,2.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.106562034739776,0.9780087101108852
9,2.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.188680663839133,0.9879158364829976
10,2.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.291035161634873,1.0002643005956853
11,2.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.407070624301976,1.0142632921143897
12,3.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.525213663829621,1.0285165503022449
13,3.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.629260108546735,1.0410691377928893
14,3.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.70132447855978,1.0497632773380354
15,3.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.72705344797664,1.0528673251555978
16,4.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.700889254421206,1.0497107701227015
17,4.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.628328013021767,1.0409566859867887
18,4.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.523700795982522,1.0283340317542626
19,4.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.404924267409985,1.014004346864063
20,5.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.288271905144772,0.9999309300615415
21,5.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.185395680255322,0.9875195226641716
22,5.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.10291409920226,0.9775686082879023
23,5.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.043602206459584,0.9704129796173369
24,6.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.00804224369185,0.9661228806618211
25,6.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,7.996014041425129,0.9646717492779597
26,6.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.007351164092151,0.966039506000036
27,6.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.042225329704046,0.970246867589341
28,7.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.100869642734152,0.9773219567203593
29,7.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.182730097524647,0.9871979358907713
30,7.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.285081016212406,0.999545968205273
31,7.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.401373689557571,1.0135759906693276
32,8.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.520032850352045,1.0278915158320445
33,8.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.624839901096705,1.0405358659363242
34,8.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.69787656811099,1.0493473073576483
35,8.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.724735030007148,1.0525876217550532
36,9.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.699784753301214,1.049577518602384
37,9.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.628441597132111,1.0409703892371642
38,9.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.52496230547832,1.0284862254054665
39,9.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.407204661610619,1.0142794629220353
40,10.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.29140130079253,1.0003084731171272
41,10.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.189178826338368,0.9879759368388841
42,10.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.10714184135372,0.978078660345792
43,10.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.048060033411252,0.9709507900440277
44,11.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.012517543725245,0.9666627991123631
45,11.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.000303046354919,0.9651891923273149
46,11.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.011265727396935,0.9665117748844229
47,11.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.045599191938825,0.9706539040911513
48,12.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.103563781067622,0.9776469885581577
49,12.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.184637060624171,0.9874279996975
50,12.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.286128655829467,0.999672359721942
51,12.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.401529117333792,1.0135947421102327
52,13.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.519307268975455,1.0278039787351645
53,13.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.623293710501024,1.0403493271960311
54,13.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.695622083641725,1.0490753171553526
55,13.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.721932840258651,1.05224955415381
56,14.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.696631221399896,1.0491970636507182
57,14.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.625149281126536,1.040573190805068
58,14.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.52173898432033,1.028097350793209
59,14.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.40423680362028,1.0139214084283446
60,15.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.288844415118415,1.0
61,15.25,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.187153468776435,0.9877315894412855
62,15.5,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.105732606334007,0.9779086444848184
63,15.75,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.047315529469417,0.9708609700516924
64,16.0,CsI_Bottom_Quadrant_03,53128,I-128,1499.3999999999999,8.288844415118415,8.012450661842722,0.9666547302092479
