primary,events,rate_hz,fraction
Cu64,84,0.007284332722074344,0.5250000000000004
I122,12,0.0010406189602963332,0.07499999999999993
Cu62,12,0.0010406189602963332,0.07499999999999993
Cs130,8,0.0006937459735308889,0.04999999999999996
I128,6,0.0005203094801481667,0.03749999999999997
F18,4,0.0003468729867654445,0.024999999999999984
I124,3,0.00026015474007408336,0.018749999999999985
Cs126,3,0.00026015474007408336,0.018749999999999985
Sb118,3,0.00026015474007408336,0.018749999999999985
Cs128,3,0.00026015474007408336,0.018749999999999985
P30,2,0.00017343649338272225,0.012499999999999992
I121,2,0.00017343649338272225,0.012499999999999992
Cs134,2,0.00017343649338272225,0.012499999999999992
Xe123,2,0.00017343649338272225,0.012499999999999992
Al28,2,0.00017343649338272225,0.012499999999999992
Nb89,1,8.671824669136112e-05,0.006249999999999996
Te116,1,8.671824669136112e-05,0.006249999999999996
Co55,1,8.671824669136112e-05,0.006249999999999996
Cs132,1,8.671824669136112e-05,0.006249999999999996
Cs124,1,8.671824669136112e-05,0.006249999999999996
I126,1,8.671824669136112e-05,0.006249999999999996
In112,1,8.671824669136112e-05,0.006249999999999996
Ta170,1,8.671824669136112e-05,0.006249999999999996
I120,1,8.671824669136112e-05,0.006249999999999996
Sb120,1,8.671824669136112e-05,0.006249999999999996
Te119,1,8.671824669136112e-05,0.006249999999999996
Na24,1,8.671824669136112e-05,0.006249999999999996
