catalog_index,local_id,tes_total_keV,bgo_total_keV,rate_hz,side_compton_class,pix_count,source_x_cm,source_y_cm,source_z_cm,ZA,source_match_status,source_match_count,source_match_distance_cm,VN,source_ZA,source_sim,sample_weight,is_w_or_collimator_origin
797481,56856,510.998921,0.0,8.584011629800251e-05,keep,2,-2.07824,3.55471,1.8736,29062,KEY_MATCH,1,2.236067977415137e-06,ColdPlate_MXC_50mK_SD_anchor,29062,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep07_part01.inc1.id1.sim.gz,6.787631213750e-04,False
810619,72727,510.99885600000005,0.0,8.584011629800251e-05,single,1,-5.28759,-0.80404,5.55652,29064,KEY_MATCH,1,3.741657387267271e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz,6.787801754281e-04,False
816733,80069,510.9989760000001,0.0,8.584011629800251e-05,keep,2,3.52201,3.97373,3.67498,29062,KEY_MATCH,1,3.605551275598461e-06,ColdPlate_CP_100mK_intercept,29062,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz,6.786148406071e-04,False
869090,143217,510.99894100000006,0.0,8.584011629800251e-05,single,1,1.51996,-3.83631,-1.3272,29062,KEY_MATCH,1,7.071067811943201e-06,ColdPlate_MXC_50mK_SD_anchor,29062,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep07_part01.inc1.id1.sim.gz,6.787631213750e-04,False
904971,186521,510.9989,0.0,8.584011629800251e-05,single,1,-3.21631,-2.04278,3.56737,29064,NEAREST_MATCH_WITHIN_TOLERANCE,1,6.708203932708817e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep03_part01.inc1.id1.sim.gz,6.787801754281e-04,False
960346,253274,510.99892,0.0,8.584011629800251e-05,single,1,-0.95249,-0.46081,-5.74836,29064,KEY_MATCH,1,4.582575695087615e-06,Cu_SubstrateSupport_SolidDisk_L0_deepest,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,6.787801756364e-04,False
982893,280549,510.99893,0.0,8.584011629800251e-05,keep,2,3.7671,-2.63055,3.50672,29062,KEY_MATCH,1,2.999999999827215e-06,ColdPlate_CP_100mK_intercept,29062,runs/step02_buildup_fix5_fullstat_v2/Background_muminus_fullsphere20_rep06_part01.inc1.id1.sim.gz,6.786148406071e-04,False
1065720,380406,510.99897000000004,0.0,8.584011629800251e-05,keep,2,2.87642,2.92197,-2.64113,29064,KEY_MATCH,1,4.242640687293621e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep04_part01.inc1.id1.sim.gz,6.787801754281e-04,False
1068909,384249,510.9989,0.0,8.584011629800251e-05,single,1,-2.03543,0.94522,-6.64745,29064,KEY_MATCH,1,4.898979485389957e-06,Cu_SubstrateSupport_SolidDisk_L0_deepest,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep06_part01.inc1.id1.sim.gz,6.787801756364e-04,False
1071054,386843,510.99891,18.68884,8.584011629800251e-05,single,1,-9.24495,4.32,-0.54528,29064,KEY_MATCH,1,5.099019514392608e-06,Window,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz,6.787801756129e-04,False
1122593,449071,510.99886000000004,0.0,8.584011629800251e-05,keep,2,-2.92891,-0.2151,2.82796,29062,KEY_MATCH,1,7.071067811597781e-06,ColdPlate_MXC_50mK_SD_anchor,29062,runs/step02_buildup_fix5_fullstat_v2/Background_p_fullsphere20_rep04_part01.inc1.id1.sim.gz,6.787631213750e-04,False
1131530,459867,510.99891210000004,0.0,8.584011629800251e-05,keep,3,-0.27365,-1.59054,-5.11278,29064,KEY_MATCH,1,5.477225574905115e-06,Cu_SubstrateSupport_SolidDisk_L0_deepest,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep07_part01.inc1.id1.sim.gz,6.787801756364e-04,False
1149706,481755,510.99883,0.0,8.584011629800251e-05,keep,4,0.73682,0.60399,-0.46194,29064,KEY_MATCH,1,3.7416573867183393e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep08_part01.inc1.id1.sim.gz,6.787801754281e-04,False
1161692,496337,510.998956,0.0,8.584011629800251e-05,single,1,-1.07529,-0.73064,-5.68266,29064,KEY_MATCH,1,7.549834435443735e-06,Cu_SubstrateSupport_SolidDisk_L0_deepest,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep04_part01.inc1.id1.sim.gz,6.787801756364e-04,False
1185932,525654,510.99882,0.0,8.584011629800251e-05,single,1,3.37018,-2.63463,-6.55499,29064,KEY_MATCH,1,5.744562646258708e-06,Cu_50mK_StillLike_Can_side_wall_above_side_port,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz,6.787801756813e-04,False
1188158,528409,510.99890000000005,0.0,8.584011629800251e-05,single,1,3.01159,-2.84986,-6.96723,29064,KEY_MATCH,1,6.557438524135018e-06,Cu_50mK_StillLike_Can_side_wall_above_side_port,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep03_part01.inc1.id1.sim.gz,6.787801756813e-04,False
1191814,532847,510.99890000000005,0.0,8.584011629800251e-05,single,1,-6.07091,1.36837,-7.86337,29064,KEY_MATCH,1,5.99999999965443e-06,Cu_50mK_StillLike_Can_bottom_cap_2mm,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep05_part01.inc1.id1.sim.gz,6.787801756471e-04,False
1211834,557020,510.99882940000003,0.0,8.584011629800251e-05,single,1,-1.88268,1.26439,-6.93762,29064,KEY_MATCH,1,8.660254037644726e-06,Cu_SubstrateSupport_SolidDisk_L0_deepest,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep04_part01.inc1.id1.sim.gz,6.787801756364e-04,False
1239983,590961,510.99896,0.0,8.584011629800251e-05,single,1,-2.23484,-2.21985,2.33081,29064,KEY_MATCH,1,5.099019513347492e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,6.787801754281e-04,False
1261310,616683,510.99888999999996,0.0,8.584011629800251e-05,keep,2,-2.67181,4.53595,2.29492,29064,KEY_MATCH,1,5.099019513521678e-06,ColdPlate_MXC_50mK_SD_anchor,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep01_part01.inc1.id1.sim.gz,6.787801754281e-04,False
1296515,659344,510.99886999999995,0.0,8.584011629800251e-05,single,1,-6.02568,-4.90903,-7.80589,29064,KEY_MATCH,1,3.316624790818991e-06,Cu_50mK_StillLike_Can_bottom_cap_2mm,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,6.787801756471e-04,False
1299793,663292,510.99891500000007,0.0,8.584011629800251e-05,single,1,-7.76958,-1.95947,-6.21932,29064,NEAREST_MATCH_WITHIN_TOLERANCE,1,6.70820393290742e-06,Cu_50mK_StillLike_Can_bottom_cap_2mm,29064,runs/step02_buildup_fix5_fullstat_v2/Background_n_fullsphere20_rep02_part01.inc1.id1.sim.gz,6.787801756471e-04,False
