case,ZA,nuclide,expected_draws,observed_draws,delta_sigma
M5000_seed260613,53128,I-128,3853.5933945240727,3883,0.9892990974656996
M5000_seed260613,29064,Cu-64,281.7044224447022,269,-0.7792028353591326
M5000_seed260613,13028,Al-28,249.58224626268728,253,0.2219489132193839
M5000_seed260613,74187,W-187,134.39171602271912,141,0.5778550047033131
M5000_seed260613,12027,Mg-27,121.18248616020742,108,-1.2122860566210651
M5000_seed260613,29066,Cu-66,67.01991085292516,77,1.2273341505668467
M5000_seed260613,55134,Cs-134,66.5282067117923,62,-0.5588973018145661
M5000_seed260613,55132,Cs-132,30.450722326822017,23,-1.3543349323783849
M5000_seed260613,47110,Ag-110,25.31055634035431,24,-0.26116012350577383
M5000_seed260613,53126,I-126,22.546117633292596,26,0.7290428207670235
M5000_seed260613,11024,Na-24,22.526863280431694,18,-0.955933224692586
M5000_seed260613,47108,Ag-108,14.814039598873789,15,0.048386927313393155
M5000_seed260613,55131,Cs-131,11.157508212053846,6,-1.5457577281044952
M5000_seed260613,53124,I-124,7.44749759914088,4,-1.2642194518509793
M5000_seed260613,55130,Cs-130,7.328876345397292,9,0.6177438238983174
M5000_seed260613,29062,Cu-62,7.05195225881974,9,0.7340935239856626
M5000_seed260613,74185,W-185,6.811064015899305,6,-0.31098801693990047
M5000_seed260613,10024,Ne-24,5.0538226246008815,7,0.8661478218730037
M5000_seed260613,53123,I-123,4.555822189575975,5,0.20819554068984938
M5000_seed260613,73182,Ta-182,4.502093168383393,1,-1.651262309353552
M5000_seed260614,53128,I-128,3853.5933945240727,3853,-0.019963020471259026
M5000_seed260614,29064,Cu-64,281.7044224447022,259,-1.3925347981073213
M5000_seed260614,13028,Al-28,249.58224626268728,256,0.4167689005077855
M5000_seed260614,74187,W-187,134.39171602271912,137,0.22807887117759604
M5000_seed260614,12027,Mg-27,121.18248616020742,122,0.07518010009878902
M5000_seed260614,29066,Cu-66,67.01991085292516,71,0.489464498815342
M5000_seed260614,55134,Cs-134,66.5282067117923,53,-1.6697290364241726
M5000_seed260614,55132,Cs-132,30.450722326822017,35,0.8269326649973248
M5000_seed260614,47110,Ag-110,25.31055634035431,31,1.133759582156161
