component,stream,tag,primary,source_volume,events,rate_hz,fraction
prompt:eplus,prompt,eplus,eplus,,80,0.05433774850180646,0.7447848566080647
prompt:n,prompt,n,n,,6,0.004071655711650771,0.05580848671450587
delayed:Cu64:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,Cu64,ColdPlate_MXC_50mK_SD_anchor,29,0.002514829154049473,0.0344697143796867
delayed:Cu64:Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed,activation,Cu64,Cu_SubstrateSupport_SolidDisk_L0_deepest,19,0.0016476466871358608,0.022583605972898168
delayed:Cu64:DR_MixingChamber_Cu,delayed,activation,Cu64,DR_MixingChamber_Cu,15,0.0013007737003704165,0.017829162610182765
delayed:Cu64:ColdPlate_CP_100mK_intercept,delayed,activation,Cu64,ColdPlate_CP_100mK_intercept,10,0.000867182466913611,0.011886108406788512
prompt:muplus,prompt,muplus,muplus,,1,0.0006733204190476959,0.009228922168813242
delayed:I122:Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed,activation,I122,Cu_SubstrateSupport_SolidDisk_L0_deepest,7,0.0006070277268395278,0.00832027588475196
delayed:Cu62:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,Cu62,ColdPlate_MXC_50mK_SD_anchor,7,0.0006070277268395278,0.00832027588475196
delayed:I128:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,I128,ColdPlate_MXC_50mK_SD_anchor,6,0.0005203094801481667,0.007131665044073108
delayed:Cu64:Still_Shield_Al_side_window_side_wall_above_side_port,delayed,activation,Cu64,Still_Shield_Al_side_window_side_wall_above_side_port,4,0.0003468729867654445,0.004754443362715405
delayed:Cs130:Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed,activation,Cs130,Cu_SubstrateSupport_SolidDisk_L0_deepest,4,0.0003468729867654445,0.004754443362715405
delayed:Cs126:Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed,activation,Cs126,Cu_SubstrateSupport_SolidDisk_L0_deepest,3,0.00026015474007408336,0.003565832522036554
delayed:F18:Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed,activation,F18,Cu_SubstrateSupport_SolidDisk_L0_deepest,3,0.00026015474007408336,0.003565832522036554
delayed:Cu64:Shield_4K_Al_side_window_side_wall_above_side_port,delayed,activation,Cu64,Shield_4K_Al_side_window_side_wall_above_side_port,3,0.00026015474007408336,0.003565832522036554
delayed:Cu62:DR_MixingChamber_Cu,delayed,activation,Cu62,DR_MixingChamber_Cu,3,0.00026015474007408336,0.003565832522036554
delayed:I122:DR_MixingChamber_Cu,delayed,activation,I122,DR_MixingChamber_Cu,3,0.00026015474007408336,0.003565832522036554
delayed:P30:Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed,activation,P30,Cu_SubstrateSupport_SolidDisk_L0_deepest,2,0.00017343649338272225,0.0023772216813577026
delayed:Cs130:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,Cs130,ColdPlate_MXC_50mK_SD_anchor,2,0.00017343649338272225,0.0023772216813577026
delayed:Sb118:Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed,activation,Sb118,Cu_SubstrateSupport_SolidDisk_L0_deepest,2,0.00017343649338272225,0.0023772216813577026
delayed:I124:Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed,activation,I124,Cu_SubstrateSupport_SolidDisk_L0_deepest,2,0.00017343649338272225,0.0023772216813577026
delayed:Cu62:ColdPlate_CP_100mK_intercept,delayed,activation,Cu62,ColdPlate_CP_100mK_intercept,1,8.671824669136112e-05,0.0011886108406788513
delayed:I124:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,I124,ColdPlate_MXC_50mK_SD_anchor,1,8.671824669136112e-05,0.0011886108406788513
delayed:Nb89:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,Nb89,ColdPlate_MXC_50mK_SD_anchor,1,8.671824669136112e-05,0.0011886108406788513
