source_volume,events,rate_hz,fraction
ColdPlate_MXC_50mK_SD_anchor,55,0.004769503568024866,0.34375000000000017
Cu_SubstrateSupport_SolidDisk_L0_deepest,51,0.004422630581259421,0.3187500000000001
DR_MixingChamber_Cu,23,0.001994519673901305,0.14374999999999988
ColdPlate_CP_100mK_intercept,14,0.0012140554536790554,0.08749999999999993
Still_Shield_Al_side_window_side_wall_above_side_port,5,0.00043359123345680563,0.031249999999999983
Still_Shield_Al_side_window_side_wall_below_side_port,3,0.00026015474007408336,0.01874999999999999
Shield_4K_Al_side_window_side_wall_above_side_port,3,0.00026015474007408336,0.01874999999999999
Shield_60K_Al_side_window_side_wall_below_side_port,2,0.00017343649338272225,0.012499999999999994
Shield_4K_Al_side_window_side_wall_below_side_port,2,0.00017343649338272225,0.012499999999999994
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,1,8.671824669136112e-05,0.006249999999999997
Shield_60K_Al_side_window_side_wall_above_side_port,1,8.671824669136112e-05,0.006249999999999997
