window,stream,stage,events,rate_s-1,survival_fraction_vs_raw
broad_480_550,prompt,raw,407,0.285687635405,1
broad_480_550,prompt,active_veto_pass,124,0.0841952724344,0.294710943002
broad_480_550,prompt,side_compton_fov_pass,109,0.0740165214535,0.25908199124
broad_480_550,delayed,raw,98,0.00849921705885,1
broad_480_550,delayed,active_veto_pass,55,0.00476996875752,0.561224489796
broad_480_550,delayed,side_compton_fov_pass,44,0.00381597500601,0.448979591837
broad_480_550,science,raw,30296,0.814539979567,1
broad_480_550,science,active_veto_pass,30296,0.814539979567,1
broad_480_550,science,side_compton_fov_pass,29650,0.797171586815,0.978677053077
w2_510p58_511p42,prompt,raw,229,0.164908060284,1
w2_510p58_511p42,prompt,active_veto_pass,92,0.0624788339139,0.378870710178
w2_510p58_511p42,prompt,side_compton_fov_pass,87,0.0590827246325,0.358276754519
w2_510p58_511p42,delayed,raw,70,0.00607086932775,1
w2_510p58_511p42,delayed,active_veto_pass,46,0.00398942841538,0.657142857143
w2_510p58_511p42,delayed,side_compton_fov_pass,39,0.0033823414826,0.557142857143
w2_510p58_511p42,science,raw,30234,0.812873044039,1
w2_510p58_511p42,science,active_veto_pass,30234,0.812873044039,1
w2_510p58_511p42,science,side_compton_fov_pass,29597,0.7957466258,0.978931004829
