component,stream,tag,primary,source_volume,events,rate_hz,fraction
prompt:eplus,prompt,eplus,eplus,,80,0.05433774850180646,0.8698901943315988
prompt:n,prompt,n,n,,6,0.004071655711650771,0.06518292487112348
delayed:Cu64:Cu_SubstrateSupport_SolidDisk_L0_deepest,delayed,activation,Cu64,Cu_SubstrateSupport_SolidDisk_L0_deepest,10,0.0008672670468210061,0.013884033120574285
delayed:Cu62:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,Cu62,ColdPlate_MXC_50mK_SD_anchor,9,0.0007805403421389055,0.012495629808516857
delayed:Cu64:ColdPlate_MXC_50mK_SD_anchor,delayed,activation,Cu64,ColdPlate_MXC_50mK_SD_anchor,8,0.0006938136374568048,0.011107226496459429
prompt:muplus,prompt,muplus,muplus,,1,0.0006733204190476959,0.010779151627038089
delayed:Cu64:DR_MixingChamber_Cu,delayed,activation,Cu64,DR_MixingChamber_Cu,4,0.00034690681872840236,0.0055536132482297135
delayed:Cu64:Cu_SubstrateSupport_OpenRing_L3_ZP_panel,delayed,activation,Cu64,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,4,0.00034690681872840236,0.0055536132482297135
delayed:Cu64:ColdPlate_CP_100mK_intercept,delayed,activation,Cu64,ColdPlate_CP_100mK_intercept,1,8.672670468210059e-05,0.0013884033120574284
delayed:Cu61:ColdPlate_CP_100mK_intercept,delayed,activation,Cu61,ColdPlate_CP_100mK_intercept,1,8.672670468210059e-05,0.0013884033120574284
delayed:Cu64:ColdPlate_4K,delayed,activation,Cu64,ColdPlate_4K,1,8.672670468210059e-05,0.0013884033120574284
delayed:Cu64:Cu_SubstrateSupport_OpenRing_L4_ZP_panel,delayed,activation,Cu64,Cu_SubstrateSupport_OpenRing_L4_ZP_panel,1,8.672670468210059e-05,0.0013884033120574284
