event_index,stream,tag,local_id,primary,source_volume,component,rate_hz,tes_total_keV,bgo_total_keV,source_file
5378,prompt,eplus,51708,eplus,,prompt:eplus,0.0006792218562725798,510.99886000000004,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
7451,prompt,eplus,84231,eplus,,prompt:eplus,0.0006792218562725798,510.99891,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
8732,prompt,eplus,104848,eplus,,prompt:eplus,0.0006792218562725798,510.9988838,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
9289,prompt,eplus,113651,eplus,,prompt:eplus,0.0006792218562725798,510.99892500000004,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
9588,prompt,eplus,118057,eplus,,prompt:eplus,0.0006792218562725798,510.998868,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
9848,prompt,eplus,121643,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
11273,prompt,eplus,144428,eplus,,prompt:eplus,0.0006792218562725798,510.9989499999999,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
12913,prompt,eplus,169432,eplus,,prompt:eplus,0.0006792218562725798,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
13676,prompt,eplus,181723,eplus,,prompt:eplus,0.0006792218562725798,510.99891,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
13871,prompt,eplus,184929,eplus,,prompt:eplus,0.0006792218562725798,510.9989036,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
15691,prompt,eplus,213599,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
15737,prompt,eplus,214319,eplus,,prompt:eplus,0.0006792218562725798,510.99893,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep01_part01.inc1.id1.sim.gz
19921,prompt,eplus,36481,eplus,,prompt:eplus,0.0006792218562725798,510.99893000000003,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
20043,prompt,eplus,38093,eplus,,prompt:eplus,0.0006792218562725798,510.99899,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
20429,prompt,eplus,43996,eplus,,prompt:eplus,0.0006792218562725798,510.99893399999996,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
20679,prompt,eplus,48330,eplus,,prompt:eplus,0.0006792218562725798,510.998843,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
22188,prompt,eplus,71871,eplus,,prompt:eplus,0.0006792218562725798,510.99890000000005,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
23206,prompt,eplus,87905,eplus,,prompt:eplus,0.0006792218562725798,510.99893900000006,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
25468,prompt,eplus,123384,eplus,,prompt:eplus,0.0006792218562725798,510.9989,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
25659,prompt,eplus,126736,eplus,,prompt:eplus,0.0006792218562725798,510.99889,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
28438,prompt,eplus,170761,eplus,,prompt:eplus,0.0006792218562725798,510.99884000000003,0.0,/home/ubuntu/TES_511_Balloon/runs/step02_instant_v3p5_centerfinger_fullstat_v2/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz
