VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
CsI_Bottom_Quadrant_03,53128,I-128,0.0,152.0,1499.3999999999999,8.288844415118415,152
CsI_Bottom_Quadrant_00,53128,I-128,0.0,145.0,1499.3999999999999,7.907121317053751,145
CsI_Bottom_Quadrant_02,53128,I-128,0.0,135.0,1499.3999999999999,7.361802605532803,135
CsI_Bottom_Quadrant_01,53128,I-128,0.0,112.0,1499.3999999999999,6.107569569034622,112
CsI_Side_Segment_00,53128,I-128,0.0,78.0,1499.3999999999999,4.252734578977516,78
CsI_Side_Segment_01,53128,I-128,0.0,77.0,1499.3999999999999,4.198954078711303,77
CsI_Side_Segment_07,53128,I-128,0.0,76.0,1499.3999999999999,4.143670836673326,76
CsI_Side_Segment_05,53128,I-128,0.0,68.0,1499.3999999999999,3.708167238342449,68
CsI_Side_Segment_06,53128,I-128,0.0,68.0,1499.3999999999999,3.708167238342449,68
CsI_Side_Segment_02,53128,I-128,0.0,56.0,1499.3999999999999,3.053784784517311,56
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,0.0,29.0,134.484,1.5814242634107503,29
CsI_Side_Segment_03_below_side_port,53128,I-128,0.0,26.0,1499.3999999999999,1.417828649954466,26
CsI_TopAnnulus_Segment_01,53128,I-128,0.0,25.0,1499.3999999999999,1.3632967788023709,25
Passive_W_Bottom_Plate_detector_bay,74187,W-187,0.0,24.0,85392.0,1.3087295804191663,24
CsI_TopAnnulus_Segment_07,53128,I-128,0.0,23.0,1499.3999999999999,1.2542330364981813,23
ColdPlate_4K,29064,Cu-64,0.0,23.0,45720.0,1.25423303282329,23
CsI_Side_Segment_04_below_side_port,53128,I-128,0.0,22.0,1499.3999999999999,1.1997011653460865,22
CsI_TopAnnulus_Segment_00,53128,I-128,0.0,18.0,1499.3999999999999,0.9815736807377071,18
CsI_TopAnnulus_Segment_02,53128,I-128,0.0,17.0,1499.3999999999999,0.9270418095856122,17
CsI_Side_Segment_03_above_side_port,53128,I-128,0.0,16.0,1499.3999999999999,0.8725099384335174,16
CsI_TopAnnulus_Segment_03,53128,I-128,0.0,15.0,1499.3999999999999,0.8179780672814225,15
CsI_TopAnnulus_Segment_05,53128,I-128,0.0,15.0,1499.3999999999999,0.8179780672814225,15
ColdPlate_Still_0p7K,29064,Cu-64,0.0,15.0,45720.0,0.8179780648847543,15
CsI_Side_Segment_04_side_port_band_00,53128,I-128,0.0,14.0,1499.3999999999999,0.7634461961293277,14
Plate_300K_Top_Service_Lid,13028,Al-28,0.0,14.0,134.484,0.7634461961293277,14
Passive_W_Liner_detector_bay_above_side_port,74187,W-187,0.0,14.0,85392.0,0.763425588577847,14
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0.0,14.0,567.48,0.7536783746128699,14
ColdPlate_4K,29066,Cu-66,0.0,12.0,307.2,0.654382453825138,12
CsI_TopAnnulus_Segment_06,53128,I-128,0.0,12.0,1499.3999999999999,0.654382453825138,12
DR_MXC_Sinter_HEX_AgProxy,47110,Ag-110,0.0,12.0,24.6,0.654382453825138,12
CsI_TopAnnulus_Segment_04,53128,I-128,0.0,11.0,1499.3999999999999,0.5998505826730433,11
