VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
CsI_Bottom_Quadrant_03,53128,I-128,0.0,1476.5,1499.3999999999999,8.013363142067249,11812
CsI_Bottom_Quadrant_00,53128,I-128,0.0,1468.5,1499.3999999999999,7.9699461873158475,11748
CsI_Bottom_Quadrant_01,53128,I-128,0.0,1324.25,1499.3999999999999,7.1870796383394016,10594
CsI_Bottom_Quadrant_02,53128,I-128,0.0,1296.25,1499.3999999999999,7.0351121074830365,10370
CsI_Side_Segment_07,53128,I-128,0.0,803.25,1499.3999999999999,4.359458338874427,6426
CsI_Side_Segment_00,53128,I-128,0.0,789.625,1499.3999999999999,4.285508709796945,6317
CsI_Side_Segment_06,53128,I-128,0.0,733.5,1499.3999999999999,3.9809120215373124,5868
CsI_Side_Segment_01,53128,I-128,0.0,731.625,1499.3999999999999,3.970726318478972,5853
CsI_Side_Segment_05,53128,I-128,0.0,630.125,1499.3999999999999,3.419859854237611,5041
CsI_Side_Segment_02,53128,I-128,0.0,627.0,1499.3999999999999,3.4029003680965846,5016
ColdPlate_4K,29064,Cu-64,0.0,344.125,45720.0,1.8676609916738325,2753
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,0.0,234.125,134.484,1.2706624659526131,1873
CsI_Side_Segment_04_below_side_port,53128,I-128,0.0,221.25,1499.3999999999999,1.2007911140376895,1770
CsI_Side_Segment_03_below_side_port,53128,I-128,0.0,218.0,1499.3999999999999,1.1831447953566512,1744
ColdPlate_Still_0p7K,29064,Cu-64,0.0,178.625,45720.0,0.9694445169826078,1429
Passive_W_Bottom_Plate_detector_bay,74187,W-187,0.0,175.125,85392.0,0.9504234505748616,1401
CsI_Side_Segment_04_above_side_port,53128,I-128,0.0,169.875,1499.3999999999999,0.9219690875898563,1359
CsI_TopAnnulus_Segment_07,53128,I-128,0.0,167.25,1499.3999999999999,0.9077126205838185,1338
CsI_TopAnnulus_Segment_00,53128,I-128,0.0,167.25,1499.3999999999999,0.9077094244389569,1338
CsI_TopAnnulus_Segment_01,53128,I-128,0.0,166.0,1499.3999999999999,0.9009329859359916,1328
CsI_TopAnnulus_Segment_06,53128,I-128,0.0,165.875,1499.3999999999999,0.9002501365263982,1327
CsI_Side_Segment_03_above_side_port,53128,I-128,0.0,163.5,1499.3999999999999,0.8873667836260317,1308
CsI_TopAnnulus_Segment_05,53128,I-128,0.0,148.5,1499.3999999999999,0.8059482782014057,1188
CsI_TopAnnulus_Segment_02,53128,I-128,0.0,148.25,1499.3999999999999,0.8045946590631,1186
CsI_TopAnnulus_Segment_04,53128,I-128,0.0,139.875,1499.3999999999999,0.7591419698885679,1119
CsI_Side_Segment_03_side_port_band_00,53128,I-128,0.0,136.75,1499.3999999999999,0.7421811560374019,1094
CsI_Side_Segment_04_side_port_band_00,53128,I-128,0.0,135.625,1499.3999999999999,0.7360786834080105,1085
CsI_TopAnnulus_Segment_03,53128,I-128,0.0,132.5,1499.3999999999999,0.7191127228902694,1060
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0.0,129.375,567.48,0.705310322974017,1035
Plate_300K_Top_Service_Lid,13028,Al-28,0.0,123.25,134.484,0.6689166449894222,986
ColdPlate_CP_100mK_intercept,29064,Cu-64,0.0,87.25,45720.0,0.4735285324379708,698
Window,13028,Al-28,0.0,84.375,134.484,0.4579251580689805,675
ColdPlate_4K,29066,Cu-66,0.0,80.25,307.2,0.43554472099801667,642
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13028,Al-28,0.0,80.125,134.484,0.43486281249819264,641
DR_MXC_Sinter_HEX_AgProxy,47110,Ag-110,0.0,79.875,24.6,0.4335024829719682,639
Passive_W_Liner_detector_bay_below_side_port,74187,W-187,0.0,79.75,85392.0,0.4328123921961182,638
