VN,ZA,nuclide,old_source_activity_Bq,new_groundstate_activity_Bq,scale,action,RP_yield,nubase_half_life_s,nubase_why,nubase_line,nubase_raw_value,nubase_raw_unit
CsI_Bottom_Quadrant_02,53128,I-128,15.65304508,15.65304503902826,0.9999999973825068,kept_rescaled,3.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_00,53128,I-128,15.65304504,15.65304503902826,0.9999999999379201,kept_rescaled,3.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Bottom_Quadrant_00,53128,I-128,10.43536336,10.435363359352174,0.9999999999379201,kept_rescaled,2.0,1499.3999999999999,nubase_ground,2498,24.99,m
ColdPlate_60K,13028,Al-28,5.21768168,5.217681679676087,0.9999999999379201,kept_rescaled,1.0,134.70000000000002,nubase_ground,276,2.245,m
CsI_Side_Segment_01,53128,I-128,5.21768168,5.217681679676087,0.9999999999379201,kept_rescaled,1.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_05,53128,I-128,5.21768168,5.217681679676087,0.9999999999379201,kept_rescaled,1.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_Side_Segment_06,53128,I-128,5.21768168,5.217681679676087,0.9999999999379201,kept_rescaled,1.0,1499.3999999999999,nubase_ground,2498,24.99,m
CsI_TopAnnulus_Segment_01,53128,I-128,5.21768168,5.217681679676087,0.9999999999379201,kept_rescaled,1.0,1499.3999999999999,nubase_ground,2498,24.99,m
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,5.21768168,5.217681679676087,0.9999999999379201,kept_rescaled,1.0,134.70000000000002,nubase_ground,276,2.245,m
Passive_W_Liner_detector_bay_above_side_port,74187,W-187,5.21754084,5.217535191048959,0.9999989173154146,kept_rescaled,1.0,85712.40000000001,nubase_ground,4206,23.809,h
Passive_W_Bottom_Plate_detector_bay,74185,W-185,0.674587408,0.6745874077673433,0.9999999996551124,kept_rescaled,1.0,6488639.999999999,nubase_ground,4151,75.1,d
CsI_Bottom_Quadrant_00,55134,Cs-134,0.142881193,0.1428644197073873,0.9998826067149882,kept_rescaled,2.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Side_Segment_00,55134,Cs-134,0.142881193,0.1428644197073873,0.9998826067149882,kept_rescaled,2.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Bottom_Quadrant_02,55134,Cs-134,0.0714405965,0.07143220985369365,0.9998826067149882,kept_rescaled,1.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Side_Segment_04_side_port_band_00,55134,Cs-134,0.0714405965,0.07143220985369365,0.9998826067149882,kept_rescaled,1.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Side_Segment_06,55134,Cs-134,0.0714405965,0.07143220985369365,0.9998826067149882,kept_rescaled,1.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_Side_Segment_07,55134,Cs-134,0.0714405965,0.07143220985369365,0.9998826067149882,kept_rescaled,1.0,65166444.0,nubase_ground,2702,2.0650,y
CsI_TopAnnulus_Segment_01,55134,Cs-134,0.0714405965,0.07143220985369365,0.9998826067149882,kept_rescaled,1.0,65166444.0,nubase_ground,2702,2.0650,y
