VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
CsI_Active_Shield_Bottom03,53128,I-128,0.0,26973.0,1499.3999999999999,49.832546179576646,26973
CsI_Active_Shield_Bottom01,53128,I-128,0.0,26725.0,1499.3999999999999,49.37435852489316,26725
CsI_Active_Shield_Bottom00,53128,I-128,0.0,26663.0,1499.3999999999999,49.259823239438944,26663
CsI_Active_Shield_Bottom02,53128,I-128,0.0,26575.0,1499.3999999999999,49.09713816671558,26575
CsI_Active_Shield_Side03,53128,I-128,0.0,20233.0,1499.3999999999999,37.38036413450505,20233
CsI_Active_Shield_Side00,53128,I-128,0.0,19959.0,1499.3999999999999,36.87416488200509,19959
CsI_Active_Shield_Side06,53128,I-128,0.0,19940.0,1499.3999999999999,36.83901914729298,19940
CsI_Active_Shield_Side01,53128,I-128,0.0,19896.0,1499.3999999999999,36.7577643108043,19896
CsI_Active_Shield_Side07,53128,I-128,0.0,19879.0,1499.3999999999999,36.72637459721597,19879
CsI_Active_Shield_Side02,53128,I-128,0.0,19831.0,1499.3999999999999,36.63759075205929,19831
CsI_Active_Shield_Side05,53128,I-128,0.0,19822.0,1499.3999999999999,36.62104083032838,19822
CsI_Active_Shield_Side04,53128,I-128,0.0,19820.0,1499.3999999999999,36.617336937510515,19820
Outer_Al_Mech_Shell,12027,Mg-27,0.0,4974.0,567.48,9.146566856420325,4974
Passive_W_Outer_Liner,74187,W-187,0.0,4270.0,85392.0,7.888603008090268,4270
Outer_Al_Mech_Shell,13028,Al-28,0.0,4200.0,134.484,7.759676306018977,4200
CsI_Active_Shield_Top06,53128,I-128,0.0,2917.0,1499.3999999999999,5.389112927758015,2917
CsI_Active_Shield_Top03,53128,I-128,0.0,2870.0,1499.3999999999999,5.302271946284458,2870
CsI_Active_Shield_Top02,53128,I-128,0.0,2820.0,1499.3999999999999,5.20992403648882,2820
CsI_Active_Shield_Top01,53128,I-128,0.0,2809.0,1499.3999999999999,5.1896634985060155,2809
CsI_Active_Shield_Top00,53128,I-128,0.0,2785.0,1499.3999999999999,5.14526071841895,2785
CsI_Active_Shield_Top05,53128,I-128,0.0,2763.0,1499.3999999999999,5.104634324378504,2763
CsI_Active_Shield_Top04,53128,I-128,0.0,2684.0,1499.3999999999999,4.958672524724228,2684
CsI_Active_Shield_Top07,53128,I-128,0.0,2684.0,1499.3999999999999,4.958672115042667,2684
Passive_Bottom_W_Shield,74187,W-187,0.0,2371.0,85392.0,4.3803045821902336,2371
ADR_Magnet_Coil_Cu,29064,Cu-64,0.0,2254.0,45720.0,4.164239454882896,2254
Passive_Cu_Inner_Liner,29064,Cu-64,0.0,1940.0,45720.0,3.58413295139511,1940
Passive_Top_W_Aperture_Annulus,74187,W-187,0.0,1787.0,85392.0,3.3013933177109926,1787
ActiveShield_Al_Backplane_Liner,13028,Al-28,0.0,1016.0,134.484,1.8770599624588007,1016
ColdPlate_4K,29064,Cu-64,0.0,907.0,45720.0,1.6756824615766164,907
TES_SampleBox_Cu,29064,Cu-64,0.0,762.0,45720.0,1.407795377400833,762
Outer_Al_Mech_Shell,11025,Na-25,0.0,716.0,59.1,1.3164968397522054,716
Outer_Al_Mech_Shell,11024,Na-24,0.0,679.0,53852.4,1.2495472146302855,679
ADR_Magnet_Coil_Cu,29066,Cu-66,0.0,550.0,307.2,1.0161249796775003,550
Thermal_Bus_Cu,29064,Cu-64,0.0,539.0,45720.0,0.9958024771662582,539
Passive_Cu_Inner_Liner,29066,Cu-66,0.0,452.0,307.2,0.8350610904068331,452
CsI_Active_Shield_Bottom03,55134,Cs-134,0.0,32674.0,65158740.969984,0.8265209488615891,32674
CsI_Active_Shield_Bottom00,55134,Cs-134,0.0,32544.0,65158740.969984,0.8232326124743037,32544
CsI_Active_Shield_Bottom02,55134,Cs-134,0.0,32305.0,65158740.969984,0.8171863635215583,32305
CsI_Active_Shield_Bottom01,55134,Cs-134,0.0,32122.0,65158740.969984,0.8125578147230375,32122
PulseTube_ColdHead_Interface_Cu,29064,Cu-64,0.0,359.0,45720.0,0.6632435918998854,359
ColdPlate_1K,29064,Cu-64,0.0,353.0,45720.0,0.6521674850458055,353
CsI_Active_Shield_Side05,55134,Cs-134,0.0,24988.0,65158740.969984,0.6320965960285212,24988
CsI_Active_Shield_Side01,55134,Cs-134,0.0,24864.0,65158740.969984,0.6289586553672396,24864
CsI_Active_Shield_Side00,55134,Cs-134,0.0,24859.0,65158740.969984,0.6288331774846652,24859
CsI_Active_Shield_Side07,55134,Cs-134,0.0,24777.0,65158740.969984,0.6267581350919064,24777
CsI_Active_Shield_Side04,55134,Cs-134,0.0,24669.0,65158740.969984,0.6240256965737235,24669
CsI_Active_Shield_Side06,55134,Cs-134,0.0,24572.0,65158740.969984,0.6215724880108533,24572
CsI_Active_Shield_Side03,55134,Cs-134,0.0,24564.0,65158740.969984,0.6213708393258875,24564
CsI_Active_Shield_Side02,55134,Cs-134,0.0,24370.0,65158740.969984,0.6164631597087793,24370
Vacuum_Jacket_Al,13028,Al-28,0.0,280.0,134.484,0.5172999896540001,280
ColdPlate_50mK,29064,Cu-64,0.0,271.0,45720.0,0.5006635956278432,271
ColdPlate_4K,29066,Cu-66,0.0,259.0,307.2,0.47850249042995013,259
Passive_W_Outer_Liner,74185,W-185,0.0,1872.0,6488639.999999999,0.4471453830229214,1872
CsI_Active_Shield_Side00,55132,Cs-132,0.0,257.0,559785.6,0.37938777166583887,257
CsI_Active_Shield_Bottom02,55132,Cs-132,0.0,249.0,559785.6,0.3675758193187054,249
W_Collimator_Aperture_Stop,74187,W-187,0.0,188.0,85392.0,0.34732061764390965,188
CsI_Active_Shield_Bottom01,55132,Cs-132,0.0,235.0,559785.6,0.3468907988929467,235
CsI_Active_Shield_Side02,55132,Cs-132,0.0,234.0,559785.6,0.3454298495742807,234
TES_SampleBox_Cu,29066,Cu-66,0.0,183.0,307.2,0.3380836003463829,183
CsI_Active_Shield_Side06,55132,Cs-132,0.0,228.0,559785.6,0.3365281886115347,228
ADR_SaltPill_Proxy,31070,Ga-70,0.0,179.0,1268.4,0.3307024933859501,179
CsI_Active_Shield_Side05,55132,Cs-132,0.0,218.0,559785.6,0.3217939566701746,218
CsI_Active_Shield_Bottom00,55132,Cs-132,0.0,212.0,559785.6,0.31296097330062916,212
CsI_Active_Shield_Side03,55132,Cs-132,0.0,208.0,559785.6,0.30712608527421636,208
Outer_Al_Mech_Shell,10024,Ne-24,0.0,167.0,202.79999999999998,0.30704738090422695,167
