tag,VN,ZA,exc_keV,nuclide,reason,detail
alpha,Passive_W_Outer_Liner,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
eplus,Passive_Bottom_W_Shield,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
muminus,Passive_Bottom_W_Shield,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
muminus,Passive_Top_W_Aperture_Annulus,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
muminus,Passive_W_Outer_Liner,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
muminus,W_Collimator_Aperture_Stop,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
muplus,Passive_Bottom_W_Shield,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
n,Passive_Bottom_W_Shield,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
n,Passive_Top_W_Aperture_Annulus,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
n,Passive_W_Outer_Liner,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
n,W_Collimator_Aperture_Stop,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
p,Passive_Bottom_W_Shield,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
p,Passive_Top_W_Aperture_Annulus,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
p,Passive_W_Outer_Liner,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
p,W_Collimator_Aperture_Stop,74183,0.0,W-183,SKIPPED/UNKNOWN,inf
