event_id,track_id,parent_id,E_keV,x_mm,y_mm,z_mm,ux,uy,uz,source_tag,creator_process
2,1,0,511,71.56091685,28.53106572,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
6,1,0,511,7.034931864,65.80346683,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
8,2,1,511,7.399180048,7.052094437,10000,0.003132543437,-0.006657887215,0.9999729295,laue_bfull_diffracted,BFullLaueBraggProcess
9,1,0,511,-42.47280385,62.14852999,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
10,1,0,511,-63.76656641,41.85379045,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
12,1,0,511,-82.35865581,2.008830523,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
13,1,0,511,-77.62441072,-11.55966165,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
14,2,1,511,4.628739844,8.22939162,10000,0.007081324461,0.002803031784,0.9999709985,laue_bfull_diffracted,BFullLaueBraggProcess
15,2,1,511,6.042724961,-6.874720552,10000,0.006087012015,0.004422954047,0.9999716925,laue_bfull_diffracted,BFullLaueBraggProcess
16,1,0,511,-42.39878322,-58.58730168,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
18,2,1,511,1.022724094,2.962163312,10000,0.001369841338,0.007181769028,0.9999732725,laue_bfull_diffracted,BFullLaueBraggProcess
19,1,0,511,2.298148701,-72.05487389,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
20,2,1,511,2.104084389,1.376076716,10000,-0.002324779398,0.007152140579,0.9999717207,laue_bfull_diffracted,BFullLaueBraggProcess
23,1,0,511,61.12272924,-44.66922192,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
26,1,0,511,67.83113636,11.30081419,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
27,2,1,511,3.121831586,-4.265951352,10000,-0.00649616908,-0.003571688887,0.999972521,laue_bfull_diffracted,BFullLaueBraggProcess
30,1,0,511,19.27173629,75.94294952,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
32,1,0,511,-15.1945892,68.34737085,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
33,1,0,511,-34.8213505,69.8531724,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
34,2,1,511,7.1083583,-2.491067464,10000,0.00472421722,-0.005711341817,0.9999725308,laue_bfull_diffracted,BFullLaueBraggProcess
35,1,0,511,-58.98110906,39.02784053,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
36,1,0,511,-63.7598568,26.01553333,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
37,1,0,511,-75.68049456,2.641060239,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
43,2,1,511,4.419135523,0.4793511407,10000,0.001382974269,0.007247444551,0.9999727806,laue_bfull_diffracted,BFullLaueBraggProcess
44,1,0,511,4.466904408,-78.29407635,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
45,2,1,511,5.243685062,-7.189699331,10000,-0.002249808368,0.0069229578,0.9999735052,laue_bfull_diffracted,BFullLaueBraggProcess
47,1,0,511,50.32754989,-44.43965041,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
48,2,1,511,-2.820135488,0.9925282203,10000,-0.006575875941,0.003615988096,0.9999718408,laue_bfull_diffracted,BFullLaueBraggProcess
50,2,1,511,-5.633384729,7.993745044,10000,-0.007522830795,-9.533556222e-07,0.9999717031,laue_bfull_diffracted,BFullLaueBraggProcess
54,1,0,511,44.56777526,58.40909709,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
55,1,0,511,21.33040378,64.28318244,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
56,1,0,511,6.834499443,78.73097311,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
57,1,0,511,-18.80606048,69.72521292,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
58,1,0,511,-24.64628444,74.71461073,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
60,1,0,511,-67.5612498,48.16549442,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
62,2,1,511,-0.4395883035,2.711234891,10000,0.007463150273,-0.0009421793849,0.9999717064,laue_bfull_diffracted,BFullLaueBraggProcess
65,1,0,511,-52.75089983,-51.71768826,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
67,2,1,511,4.708526306,-3.067994589,10000,0.003175414155,0.006747842913,0.9999721913,laue_bfull_diffracted,BFullLaueBraggProcess
69,1,0,511,-1.055374529,-69.37735066,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
70,1,0,511,22.43474579,-74.69677271,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
71,1,0,511,33.99809685,-67.12193773,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
72,1,0,511,62.25403978,-46.93420478,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
73,2,1,511,3.592086568,3.969493601,10000,-0.006435546636,0.003536682664,0.9999730374,laue_bfull_diffracted,BFullLaueBraggProcess
74,1,0,511,67.74834706,-26.8615788,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
75,1,0,511,81.92232483,1.718364469,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
76,1,0,511,74.67383007,23.09112291,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
77,1,0,511,71.90088406,35.13858846,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
78,1,0,511,47.0973162,45.08651776,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
80,1,0,511,18.44888993,66.6874218,10000,0,0,1,laue_bfull_primary_or_transmitted,primary
