window,stream,stage,events,rate_s-1,survival_fraction_vs_raw
broad_480_550,prompt,raw,407,0.285687635405,1
broad_480_550,prompt,active_veto_pass,124,0.0841952724344,0.294710943002
broad_480_550,prompt,side_compton_fov_pass,109,0.0740165214535,0.25908199124
broad_480_550,delayed,raw,1077,0.0933955516866,1
broad_480_550,delayed,active_veto_pass,802,0.0695480338465,0.744661095636
broad_480_550,delayed,side_compton_fov_pass,681,0.0590551259968,0.632311977716
broad_480_550,science,raw,30296,0.814539979567,1
broad_480_550,science,active_veto_pass,30296,0.814539979567,1
broad_480_550,science,side_compton_fov_pass,29650,0.797171586815,0.978677053077
w2_510p58_511p42,prompt,raw,229,0.164908060284,1
w2_510p58_511p42,prompt,active_veto_pass,92,0.0624788339139,0.378870710178
w2_510p58_511p42,prompt,side_compton_fov_pass,87,0.0590827246325,0.358276754519
w2_510p58_511p42,delayed,raw,273,0.0236740813467,1
w2_510p58_511p42,delayed,active_veto_pass,182,0.0157827208978,0.666666666667
w2_510p58_511p42,delayed,side_compton_fov_pass,160,0.0138749194706,0.586080586081
w2_510p58_511p42,science,raw,30234,0.812873044039,1
w2_510p58_511p42,science,active_veto_pass,30234,0.812873044039,1
w2_510p58_511p42,science,side_compton_fov_pass,29597,0.7957466258,0.978931004829
