analysis_case_id,source_case_id,source_class,model_id,selection_id,flux_ph_cm2_s,duration_s,final_rate_day15_cps,background_final_cps_day15,response_cps_per_ph_cm2_s,handling,claim_level,total_source_counts,total_background_counts,final_counting_Z,final_template_proxy_Z,T3_day_counting,T5_day_counting,T3_day_extrapolated_constant_profile,T5_day_extrapolated_constant_profile
A_point_broad_480_550_F3e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,3e-05,,0.00035638501155748535,0.06628201291851338,11.87950038524951,focused_EventList_detector_response_linear_flux_scaling,FIX5_L1_COUNTING_TIME_DEP_WITH_ANALYTIC_ACCIDENTAL_FIX5_FULLSTAT_V2_EXACTPOS_M50000_S260613_SIGNAL_REPLAYED_NOT_FINAL_PROMOTION,611.018219743803,114881.00683295255,1.8027273345835224,1.8027273345835224,,,55.3875834287446,153.85439841317944
A_point_broad_480_550_F5e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,5e-05,,0.0005939750192624756,0.06628201291851338,11.87950038524951,focused_EventList_detector_response_linear_flux_scaling,FIX5_L1_COUNTING_TIME_DEP_WITH_ANALYTIC_ACCIDENTAL_FIX5_FULLSTAT_V2_EXACTPOS_M50000_S260613_SIGNAL_REPLAYED_NOT_FINAL_PROMOTION,1018.3636995730047,114881.00683295255,3.004545557639203,3.004545557639203,19.940646669031892,,,55.38758342874463
A_point_broad_480_550_F8e-05,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,8e-05,,0.000950360030819961,0.06628201291851338,11.87950038524951,focused_EventList_detector_response_linear_flux_scaling,FIX5_L1_COUNTING_TIME_DEP_WITH_ANALYTIC_ACCIDENTAL_FIX5_FULLSTAT_V2_EXACTPOS_M50000_S260613_SIGNAL_REPLAYED_NOT_FINAL_PROMOTION,1629.3819193168074,114881.00683295255,4.807272892222724,4.807272892222724,7.356633895961586,,,21.635774776853374
A_point_broad_480_550_F0.0001,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,0.0001,,0.0011879500385249511,0.06628201291851338,11.87950038524951,focused_EventList_detector_response_linear_flux_scaling,FIX5_L1_COUNTING_TIME_DEP_WITH_ANALYTIC_ACCIDENTAL_FIX5_FULLSTAT_V2_EXACTPOS_M50000_S260613_SIGNAL_REPLAYED_NOT_FINAL_PROMOTION,2036.7273991460095,114881.00683295255,6.009091115278406,6.009091115278406,4.981292712408541,13.582514875798319,,
A_point_broad_480_550_F0.00015,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,0.00015,,0.0017819250577874265,0.06628201291851338,11.87950038524951,focused_EventList_detector_response_linear_flux_scaling,FIX5_L1_COUNTING_TIME_DEP_WITH_ANALYTIC_ACCIDENTAL_FIX5_FULLSTAT_V2_EXACTPOS_M50000_S260613_SIGNAL_REPLAYED_NOT_FINAL_PROMOTION,3055.0910987190136,114881.00683295255,9.013636672917608,9.013636672917608,1.841007212532625,5.998904479095646,,
A_point_broad_480_550_F0.0002,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,0.0002,,0.0023759000770499023,0.06628201291851338,11.87950038524951,focused_EventList_detector_response_linear_flux_scaling,FIX5_L1_COUNTING_TIME_DEP_WITH_ANALYTIC_ACCIDENTAL_FIX5_FULLSTAT_V2_EXACTPOS_M50000_S260613_SIGNAL_REPLAYED_NOT_FINAL_PROMOTION,4073.454798292019,114881.00683295255,12.018182230556812,12.018182230556812,1.0700984153581392,3.0609007124663723,,
A_point_broad_480_550_F0.0003,A_GC_CENTRAL_COMPACT_POINT,point_steady,mono_511,broad_480_550,0.0003,,0.003563850115574853,0.06628201291851338,11.87950038524951,focused_EventList_detector_response_linear_flux_scaling,FIX5_L1_COUNTING_TIME_DEP_WITH_ANALYTIC_ACCIDENTAL_FIX5_FULLSTAT_V2_EXACTPOS_M50000_S260613_SIGNAL_REPLAYED_NOT_FINAL_PROMOTION,6110.182197438027,114881.00683295255,18.027273345835216,18.027273345835216,0.510904722059241,1.3005383744942245,,
B_diffuse_proxy_broad_480_550,B_GC_DIFFUSE_BULGE_DISK_PROXY,extended_steady,routeB_fov_flux_proxy,broad_480_550,6.26238e-07,,7.439394562257883e-06,0.06628201291851338,11.87950038524951,aperture_flux_proxy_using_v3p5_selection_response_not_a_focal_spot_source,FIX5_L1_COUNTING_TIME_DEP_WITH_ANALYTIC_ACCIDENTAL_FIX5_FULLSTAT_V2_EXACTPOS_M50000_S260613_SIGNAL_REPLAYED_NOT_FINAL_PROMOTION,12.754760929863988,114881.00683295255,0.03763121201849719,0.03763121201849719,,,127108.93872751882,353080.385354219
C_transient_broad_480_550_F0.0001_T3600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,broad_480_550,0.0001,3600.0,0.0011879500385249511,0.06628201291851338,11.87950038524951,focused_EventList_detector_response_linear_flux_scaling_with_duration_gate,FIX5_L1_COUNTING_TIME_DEP_WITH_ANALYTIC_ACCIDENTAL_FIX5_FULLSTAT_V2_EXACTPOS_M50000_S260613_SIGNAL_REPLAYED_NOT_FINAL_PROMOTION,4.273473100507868,236.56334463322008,0.27784798318809745,0.27784798318809745,,,2331.6212655833065,6476.725737731407
C_transient_broad_480_550_F0.0001_T21600s,C_V404_TRANSIENT_BENCHMARK,point_transient,mono_511_transient,broad_480_550,0.0001,21600.0,0.0011879500385249511,0.06628201291851338,11.87950038524951,focused_EventList_detector_response_linear_flux_scaling_with_duration_gate,FIX5_L1_COUNTING_TIME_DEP_WITH_ANALYTIC_ACCIDENTAL_FIX5_FULLSTAT_V2_EXACTPOS_M50000_S260613_SIGNAL_REPLAYED_NOT_FINAL_PROMOTION,26.06407344432938,1413.292472832858,0.6933080898396186,0.6933080898396186,,,374.4725340307644,1040.2014834187898
