VN,ZA,nuclide,exc_keV,RP_yield,hl_s,Activity_Bq,Points
CsI_Bottom_Quadrant_03,53128,I-128,0.0,1440.5,1499.3999999999999,7.822245023524668,11524
CsI_Bottom_Quadrant_00,53128,I-128,0.0,1437.75,1499.3999999999999,7.807324974687083,11502
CsI_Bottom_Quadrant_02,53128,I-128,0.0,1271.25,1499.3999999999999,6.903183807673733,10170
CsI_Bottom_Quadrant_01,53128,I-128,0.0,1267.75,1499.3999999999999,6.884170430992699,10142
CsI_Side_Segment_00,53128,I-128,0.0,808.25,1499.3999999999999,4.388992159331302,6466
CsI_Side_Segment_07,53128,I-128,0.0,773.875,1499.3999999999999,4.20232761045879,6191
CsI_Side_Segment_01,53128,I-128,0.0,739.875,1499.3999999999999,4.01769987191418,5919
CsI_Side_Segment_06,53128,I-128,0.0,721.375,1499.3999999999999,3.917233025934967,5771
CsI_Side_Segment_05,53128,I-128,0.0,643.375,1499.3999999999999,3.4936743539221635,5147
CsI_Side_Segment_02,53128,I-128,0.0,628.25,1499.3999999999999,3.411542263329636,5026
ColdPlate_4K,29064,Cu-64,0.0,338.875,45721.44,1.8401688967658896,2711
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,0.0,284.625,134.70000000000002,1.5455789337093127,2277
CsI_Side_Segment_04_below_side_port,53128,I-128,0.0,257.0,1499.3999999999999,1.395568355550215,2056
CsI_Side_Segment_03_below_side_port,53128,I-128,0.0,255.75,1499.3999999999999,1.3887807886704064,2046
Window,13028,Al-28,0.0,219.75,134.70000000000002,1.1932954004006338,1758
Window,53128,I-128,0.0,217.5,1499.3999999999999,1.1810671444064607,1740
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13028,Al-28,0.0,210.75,134.70000000000002,1.1444233036189255,1686
CsI_Side_Segment_03_above_side_port,53128,I-128,0.0,189.25,1499.3999999999999,1.0276694992269364,1514
CsI_Side_Segment_04_above_side_port,53128,I-128,0.0,185.75,1499.3999999999999,1.0086638891481998,1486
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13028,Al-28,0.0,176.625,134.70000000000002,0.9591163911158536,1413
CsI_TopAnnulus_Segment_07,53128,I-128,0.0,173.5,1499.3999999999999,0.9421434317318136,1388
Passive_W_Bottom_Plate_detector_bay,74187,W-187,0.0,171.625,85712.40000000001,0.9319387837983522,1373
CsI_TopAnnulus_Segment_06,53128,I-128,0.0,167.0,1499.3999999999999,0.9068434075493815,1336
CsI_TopAnnulus_Segment_01,53128,I-128,0.0,166.375,1499.3999999999999,0.9034564165429589,1331
ColdPlate_Still_0p7K,29064,Cu-64,0.0,164.25,45721.44,0.8919166811120761,1314
CsI_TopAnnulus_Segment_00,53128,I-128,0.0,163.25,1499.3999999999999,0.8864864423052556,1306
CsI_TopAnnulus_Segment_05,53128,I-128,0.0,149.375,1499.3999999999999,0.8111354024911116,1195
CsI_TopAnnulus_Segment_02,53128,I-128,0.0,144.875,1499.3999999999999,0.7867062259754241,1159
CsI_TopAnnulus_Segment_03,53128,I-128,0.0,134.875,1499.3999999999999,0.732403811757966,1079
CsI_TopAnnulus_Segment_04,53128,I-128,0.0,131.5,1499.3999999999999,0.7140765120622,1052
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13028,Al-28,0.0,128.75,134.70000000000002,0.699143431021765,1030
Plate_300K_Top_Service_Lid,13028,Al-28,0.0,127.875,134.70000000000002,0.6943920457917414,1023
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,0.0,127.625,566.1,0.6897171961866606,1021
ColdPlate_CP_100mK_intercept,29064,Cu-64,0.0,83.125,45721.44,0.45138858196186343,665
ColdPlate_4K,29066,Cu-66,0.0,82.25,307.2,0.4466373569385928,658
DR_MXC_Sinter_HEX_AgProxy,47110,Ag-110,0.0,80.25,24.56,0.4357768740951012,642
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12027,Mg-27,0.0,80.0,566.1,0.43238679277861863,640
ColdPlate_MXC_50mK_SD_anchor,29064,Cu-64,0.0,73.0,45721.44,0.39640762262525436,584
Nb_MagShield_Inner_Cylinder_2mm,41094,Nb-94,0.0,59.5,20.4,0.3230993645938756,476
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13028,Al-28,0.0,58.75,134.70000000000002,0.3190266075135624,470
ColdPlate_60K,13028,Al-28,0.0,53.25,134.70000000000002,0.28916035570796433,426
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,12027,Mg-27,0.0,48.375,566.1,0.26144022525078675,387
Plate_300K_Top_Service_Lid,12027,Mg-27,0.0,48.0,566.1,0.2594491927324713,384
DR_MXC_Sinter_HEX_AgProxy,47108,Ag-108,0.0,45.0,142.92000000000002,0.2443608639785614,360
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13026,Al-26,0.0,42.25,717.0,0.22937555157352885,338
ColdPlate_Still_0p7K,29066,Cu-66,0.0,39.0,307.2,0.21177941544808657,312
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,12027,Mg-27,0.0,37.625,566.1,0.20339358426739818,301
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,Mg-27,0.0,35.875,566.1,0.19389082066271293,287
NbTi_Bundle_4K_60K,41094,Nb-94,0.0,34.75,20.4,0.18870088940566687,278
Window,12027,Mg-27,0.0,34.0,566.1,0.18399548432618965,272
Window,13026,Al-26,0.0,32.375,717.0,0.17576370222232002,259
NbTi_Bundle_Still_4K,41094,Nb-94,0.0,28.375,20.4,0.15408310034203734,227
Window,29064,Cu-64,0.0,27.125,45721.44,0.14729529813301404,217
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13026,Al-26,0.0,26.5,717.0,0.14386921609692804,212
DR_Still_Pot_Cu,29064,Cu-64,0.0,24.75,45721.44,0.13439823989680555,198
CsI_Bottom_Quadrant_03,55134,Cs-134,0.0,1763.25,65166444.0,0.13108380029652184,14106
CsI_Bottom_Quadrant_00,55134,Cs-134,0.0,1761.875,65166444.0,0.1309814819012538,14095
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11024,Na-24,0.0,23.75,53841.6,0.1285342447592492,190
Cu_50mK_StillLike_Can_bottom_cap_2mm,29064,Cu-64,0.0,23.375,45721.44,0.12693189286116877,187
Cu_50mK_StillLike_Can_side_wall_above_side_port,29064,Cu-64,0.0,22.75,45721.44,0.1235379919825279,182
CsI_Bottom_Quadrant_01,55134,Cs-134,0.0,1601.25,65166444.0,0.11904026599844965,12810
CsI_Bottom_Quadrant_02,55134,Cs-134,0.0,1562.0,65166444.0,0.11612246853703546,12496
ColdPlate_CP_100mK_intercept,29066,Cu-66,0.0,21.0,307.2,0.114035069856662,168
Plate_300K_Top_Service_Lid,13026,Al-26,0.0,19.125,717.0,0.1038258835590297,153
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13026,Al-26,0.0,19.0,717.0,0.10315313533814602,152
ColdPlate_MXC_50mK_SD_anchor,29066,Cu-66,0.0,18.625,307.2,0.10113479153893143,149
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11025,Na-25,0.0,18.0,59.1,0.0972606538396277,144
Window,11024,Na-24,0.0,16.0,53841.6,0.08677236011873607,128
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,Na-24,0.0,15.875,53841.6,0.08589005623386377,127
DR_Capillary_CuNi_4K_60K,29064,Cu-64,0.0,15.5,45721.44,0.08416874179029374,124
Cu_50mK_StillLike_Can_side_wall_below_side_port,29064,Cu-64,0.0,15.25,45721.44,0.08281118143883738,122
DR_4K_Condenser_Cu,29064,Cu-64,0.0,15.25,45721.44,0.08281118143883738,122
Nb_MagShield_Inner_Back_ColdFingerCap_2mm,41094,Nb-94,0.0,14.5,20.4,0.07873850061531423,116
DR_Capillary_CuNi_Still_4K,29064,Cu-64,0.0,14.5,45721.44,0.07873850038446834,116
NbTi_Bundle_bay_to_MXC,41094,Nb-94,0.0,14.125,20.4,0.07670216008215955,113
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13026,Al-26,0.0,14.125,717.0,0.07668570977150957,113
CsI_Side_Segment_00,55134,Cs-134,0.0,1010.75,65166444.0,0.07514123009875481,8086
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11025,Na-25,0.0,13.75,59.1,0.07429590595561486,110
CsI_Side_Segment_07,55134,Cs-134,0.0,998.375,65166444.0,0.07422138355895268,7987
CsI_Side_Segment_01,55134,Cs-134,0.0,913.75,65166444.0,0.06793017044011995,7310
CsI_Side_Segment_06,55134,Cs-134,0.0,912.875,65166444.0,0.06786511880475334,7303
DR_MixingChamber_Cu,29064,Cu-64,0.0,12.375,45721.44,0.06719923739708936,99
DR_Continuous_HEX_CuNi_CP_to_Still,29064,Cu-64,0.0,12.0,45721.44,0.06516289686990484,96
CsI_Side_Segment_02,55134,Cs-134,0.0,790.125,65166444.0,0.05873966254964683,6321
CsI_Side_Segment_05,55134,Cs-134,0.0,789.0,65166444.0,0.05865602431356355,6312
